
User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
1000026,P00059542,1,29,7,B,2,1,2,4,,9734
1000026,P00346642,1,33,7,B,2,1,8,,,7814
1000026,P00021242,1,33,7,B,2,1,8,16,,6098
1000026,P00023042,1,34,7,B,2,1,5,14,,5195
1000026,P00144242,1,34,7,B,2,1,5,14,,5220
1000026,P00101342,1,29,7,B,2,1,6,8,,16093
1000026,P00289342,1,30,7,B,2,1,5,8,14,3702
1000027,P00281742,1,30,11,C,1,1,5,8,18,8696
1000027,P00266642,1,32,11,C,1,1,1,8,9,7730
1000027,P00323742,1,28,11,C,1,1,8,,,9836
1000027,P00116342,1,31,11,C,1,1,2,,,16500
1000027,P00117142,1,31,11,C,1,1,2,17,,15903
1000028,P00084442,0,32,1,C,2,1,13,16,,758
1000028,P00331542,0,30,1,C,2,1,5,8,,6904
1000028,P00118742,0,27,1,C,2,1,5,11,,8690
1000028,P00178942,0,34,1,C,2,1,5,8,,8624
1000028,P00026042,0,32,1,C,2,1,8,14,17,3904
1000029,P00233542,1,39,7,C,1,0,1,15,,19068
1000029,P00127242,1,39,7,C,1,0,1,16,,7963
1000029,P00349942,1,38,7,C,1,0,1,5,,15511
1000029,P00303342,1,43,7,C,1,0,1,16,,11859
1000030,P00051442,0,37,7,C,3,0,8,17,,9735
1000030,P00275642,0,38,7,C,3,0,8,,,4166
1000030,P00278642,0,39,7,C,3,0,5,,,6927
1000031,P00117442,1,55,7,C,2,0,5,14,,8596
1000031,P00322042,1,55,7,C,2,0,5,8,,5248
1000031,P00216342,1,55,7,C,2,0,3,4,5,10592
1000031,P00329342,1,55,7,C,2,0,5,,,3482
1000032,P00332342,0,33,0,C,3,1,5,8,,7134
1000033,P00285442,1,48,3,A,1,1,8,,,7854
1000033,P00111742,1,47,3,A,1,1,15,,,17391
1000033,P00293742,1,47,3,A,1,1,8,,,6074
1000033,P00032842,1,49,3,A,1,1,8,,,6119
1000033,P00216142,1,48,3,A,1,1,1,16,,15333
1000033,P00001642,1,48,3,A,1,1,8,16,,6129
1000033,P00351842,1,47,3,A,1,1,5,,,5265
1000033,P00145442,1,48,3,A,1,1,8,15,,7888
1000033,P00344242,1,49,3,A,1,1,8,10,,4035
1000033,P00327242,1,49,3,A,1,1,5,8,,5280
1000033,P00241142,1,49,3,A,1,1,8,,,7909
1000033,P00219242,1,48,3,A,1,1,4,5,,811
1000033,P00057342,1,49,3,A,1,1,4,5,,2846
1000033,P00165742,1,47,3,A,1,1,8,16,,7994
1000033,P00154642,1,49,3,A,1,1,8,,,3897
1000034,P00192942,0,21,0,A,0,0,5,,,6996
1000034,P00247042,0,19,0,A,0,0,5,14,,8593
1000034,P00150542,0,21,0,A,0,0,5,,,6917
1000034,P00347142,0,21,0,A,0,0,5,,,5329
1000034,P00326742,0,22,0,A,0,0,11,,,5942
1000034,P00085942,0,24,0,A,0,0,2,4,8,15895
1000034,P00330442,0,23,0,A,0,0,5,14,,7165
1000034,P00327842,0,20,0,A,0,0,8,16,,9846
1000034,P00218342,0,24,0,A,0,0,5,,,8701
1000034,P00259042,0,19,0,A,0,0,5,,,8757
1000035,P00102542,1,48,1,C,4+,1,8,,,6109
1000035,P00285442,1,48,1,C,4+,1,8,,,6139
1000035,P00121142,1,48,1,C,4+,1,8,,,5897
1000035,P00228242,1,49,1,C,4+,1,8,,,3990
1000035,P00129542,1,49,1,C,4+,1,8,14,,6153
1000035,P00309542,1,49,1,C,4+,1,5,14,,5319
1000035,P00106742,1,47,1,C,4+,1,3,5,,10767
1000036,P00102642,1,29,3,B,0,0,4,8,9,2832
1000036,P00127442,1,33,3,B,0,0,1,2,15,8066
1000036,P00345642,1,27,3,B,0,0,1,15,16,15812
1000036,P00357842,1,34,3,B,0,0,5,,,6967
1000036,P00115342,1,28,3,B,0,0,5,8,14,6922
1000036,P00174442,1,29,3,B,0,0,5,,,8621
1000036,P00282642,1,33,3,B,0,0,5,,,7030
1000036,P00150542,1,31,3,B,0,0,5,,,7172
1000036,P00037142,1,34,3,B,0,0,1,2,5,15769
1000036,P00192042,1,32,3,B,0,0,5,9,14,6871
1000036,P00197542,1,30,3,B,0,0,5,,,7171
1000036,P00048742,1,31,3,B,0,0,5,,,7139
1000036,P00110142,1,27,3,B,0,0,7,,,16280
1000036,P00120842,1,27,3,B,0,0,8,17,,9894
1000036,P00267742,1,33,3,B,0,0,5,,,3664
1000036,P00086442,1,33,3,B,0,0,8,13,15,7869
1000036,P00331842,1,29,3,B,0,0,16,,,16866
1000036,P00288642,1,31,3,B,0,0,16,,,20442
1000036,P00318742,1,30,3,B,0,0,1,8,,11518
1000036,P00028442,1,30,3,B,0,0,1,8,16,15285
1000036,P00208342,1,31,3,B,0,0,1,16,,15524
1000036,P00193542,1,30,3,B,0,0,1,2,,19278
1000036,P00277442,1,32,3,B,0,0,1,6,15,15445
1000037,P00085242,0,31,9,C,1,0,8,14,17,8034
1000039,P00279442,1,22,4,B,2,0,16,,,12464
1000039,P00351142,1,24,4,B,2,0,1,8,17,15319
1000041,P00235242,0,21,4,C,3,0,8,,,5915
1000041,P00251542,0,24,4,C,3,0,11,16,,6025
1000042,P00046742,1,31,8,C,0,1,1,2,15,19433
1000042,P00003242,1,32,8,C,0,1,8,15,,6027
1000042,P00221542,1,30,8,C,0,1,5,15,,7040
1000042,P00142142,1,33,8,C,0,1,1,2,15,11965
1000042,P00044442,1,31,8,C,0,1,1,16,,15469
1000042,P00147742,1,28,8,C,0,1,1,16,,11925
1000042,P00030942,1,34,8,C,0,1,4,5,9,2826
1000042,P00288042,1,31,8,C,0,1,8,,,4013
1000042,P00313142,1,33,8,C,0,1,8,,,5914
1000042,P00195442,1,30,8,C,0,1,5,,,7176
1000043,P00255842,1,27,12,A,0,0,16,,,20961
1000044,P00112142,1,48,17,B,3,1,1,2,14,19072
1000044,P00120342,1,47,17,B,3,1,5,17,,7179
1000044,P00110542,1,48,17,B,3,1,8,,,7995
1000044,P00279942,1,47,17,B,3,1,8,,,4124
1000044,P00303742,1,47,17,B,3,1,8,,,7772
1000044,P00140742,1,47,17,B,3,1,1,15,,11799
1000044,P00190042,1,48,17,B,3,1,3,4,5,13251
1000044,P00316742,1,48,17,B,3,1,4,5,,3524
1000044,P00233542,1,49,17,B,3,1,1,15,,15853
1000044,P00115242,1,48,17,B,3,1,5,8,,1728
1000044,P00338442,1,48,17,B,3,1,1,16,,11693
1000044,P00302842,1,49,17,B,3,1,8,13,,7852
1000044,P00124842,1,47,17,B,3,1,11,,,1582
1000045,P00066442,0,47,16,A,1,1,5,14,,6950
1000045,P00273442,0,47,16,A,1,1,12,14,17,1414
1000045,P00210142,0,48,16,A,1,1,14,,,4325
1000045,P00212542,0,48,16,A,1,1,8,14,,4028
1000045,P00321742,0,49,16,A,1,1,5,8,17,3432
1000045,P00020042,0,47,16,A,1,1,5,8,,3715
1000045,P00051942,0,47,16,A,1,1,5,6,11,3540
1000045,P00251342,0,49,16,A,1,1,5,11,,5352
1000045,P00303542,0,48,16,A,1,1,5,,,1828
1000045,P00228142,0,48,16,A,1,1,5,,,7159
1000046,P00123142,1,22,19,C,4+,0,11,,,7614
1000046,P00079542,1,24,19,C,4+,0,5,8,,1784
1000046,P00103142,1,24,19,C,4+,0,1,,,3978
1000046,P00305542,1,20,19,C,4+,0,11,,,7478
1000047,P00031042,1,23,4,C,4+,1,8,,,8043
1000047,P00260042,1,22,4,C,4+,1,5,8,,6912
1000048,P00055642,1,34,4,B,3,1,4,5,,1447
1000048,P00312742,1,34,4,B,3,1,15,,,4338
1000048,P00010742,1,32,4,B,3,1,1,8,17,19352
1000048,P00147742,1,31,4,B,3,1,1,16,,11420
1000048,P00303742,1,29,4,B,3,1,8,,,5897
1000048,P00223242,1,32,4,B,3,1,5,14,,7048
1000048,P00114942,1,34,4,B,3,1,1,15,16,15783
1000048,P00277442,1,32,4,B,3,1,1,6,15,11396
1000048,P00183242,1,34,4,B,3,1,5,15,,5180
1000048,P00030842,1,29,4,B,3,1,1,2,15,15549
1000048,P00220142,1,28,4,B,3,1,1,15,,11935
1000048,P00130442,1,34,4,B,3,1,3,5,,8091
1000048,P00323042,1,34,4,B,3,1,5,,,7001
1000048,P00344742,1,31,4,B,3,1,5,,,1747
1000048,P00182442,1,29,4,B,3,1,5,11,,5252
1000048,P00015342,1,33,4,B,3,1,2,4,,6407
1000048,P00113242,1,32,4,B,3,1,1,6,8,15466
1000048,P00288042,1,27,4,B,3,1,8,,,7781
1000048,P00103042,1,30,4,B,3,1,1,14,,15849
1000048,P00187842,1,27,4,B,3,1,1,16,,11430
1000048,P00162442,1,30,4,B,3,1,1,16,,11404
1000048,P00078542,1,28,4,B,3,1,1,2,16,11853
1000048,P0094142,1,29,4,B,3,1,4,5,,1446
1000048,P00324442,1,29,4,B,3,1,11,13,16,3101
1000048,P00041642,1,28,4,B,3,1,5,,,3694
1000048,P00050542,1,32,4,B,3,1,5,,,3696
1000048,P00006442,1,31,4,B,3,1,5,,,3580
1000049,P00051442,1,21,12,C,4+,1,8,17,,9879
1000049,P00350942,1,23,12,C,4+,1,3,4,5,10783
1000049,P00000142,1,19,12,C,4+,1,3,4,5,13353
1000049,P00127242,1,23,12,C,4+,1,1,16,,15715
1000049,P00034042,1,22,12,C,4+,1,1,2,16,11463
1000049,P00143142,1,21,12,C,4+,1,8,14,,7763
1000050,P00317942,0,32,2,A,1,1,8,16,,5878
1000050,P00335542,0,31,2,A,1,1,8,,,5845
1000051,P00361842,0,3,10,C,2,0,15,16,,17271
1000052,P00147942,1,22,4,C,0,0,1,16,,15244
1000052,P00000642,1,24,4,C,0,0,1,6,16,19060
1000052,P00037142,1,22,4,C,0,0,1,2,5,15772
1000052,P00028042,1,20,4,C,0,0,1,16,,8159
1000053,P00117542,1,34,0,B,1,0,18,,,3794
1000053,P00120342,1,31,0,B,1,0,5,17,,8637
1000053,P00130742,1,29,0,B,1,0,1,14,17,19251
1000053,P00024142,1,29,0,B,1,0,8,9,14,10021
1000053,P00127242,1,32,0,B,1,0,1,16,,15734
1000053,P00209742,1,33,0,B,1,0,1,11,15,19662
1000053,P00160042,1,33,0,B,1,0,1,13,16,19416
1000053,P00042342,1,33,0,B,1,0,8,16,,5996
1000053,P00016542,1,27,0,B,1,0,1,6,16,11937
1000053,P00016742,1,31,0,B,1,0,1,15,16,15859
1000053,P00227642,1,27,0,B,1,0,1,5,14,11723
1000053,P00146142,1,32,0,B,1,0,1,2,15,11793
1000053,P00070542,1,31,0,B,1,0,3,15,,13689
1000053,P00129842,1,29,0,B,1,0,6,8,15,16306
1000053,P00243942,1,33,0,B,1,0,1,2,15,19171
1000053,P00246742,1,30,0,B,1,0,11,15,,1629
1000053,P00310142,1,29,0,B,1,0,5,15,,6931
1000053,P00244142,1,27,0,B,1,0,1,2,15,12004
1000053,P00085442,1,28,0,B,1,0,12,14,,1752
1000053,P00190142,1,29,0,B,1,0,3,4,5,10766
1000053,P00109242,1,34,0,B,1,0,6,8,10,20529
1000053,P00089342,1,29,0,B,1,0,8,,,9856
1000053,P00288542,1,32,0,B,1,0,8,,,8000
1000053,P00212242,1,31,0,B,1,0,8,,,10038
1000053,P00319342,1,29,0,B,1,0,5,8,,8685
1000053,P00302942,1,30,0,B,1,0,8,,,7796
1000053,P00145942,1,29,0,B,1,0,6,8,13,20474
1000053,P00026342,1,34,0,B,1,0,8,,,7820
1000053,P00148842,1,32,0,B,1,0,6,8,16,16477
1000054,P00299842,1,54,1,C,4+,1,8,,,6198
1000054,P00313342,1,54,1,C,4+,1,5,,,5185
1000056,P00102442,1,40,20,C,0,1,8,,,5980
1000056,P00237542,1,38,20,C,0,1,1,15,16,11370
1000056,P00213742,1,44,20,C,0,1,8,,,9834
1000056,P0099342,1,44,20,C,0,1,5,8,,2012
1000057,P00171542,1,22,19,C,2,0,2,5,14,3581
1000057,P00135742,1,22,19,C,2,0,6,8,,12131
1000057,P00350342,1,23,19,C,2,0,1,6,,4290
1000058,P00110742,1,29,2,B,3,0,1,2,8,15824
1000058,P00117642,1,27,2,B,3,0,10,16,,23603
1000058,P00114142,1,32,2,B,3,0,8,,,9940
1000058,P00119142,1,30,2,B,3,0,3,4,12,13557
1000058,P00280742,1,27,2,B,3,0,6,8,,16420
1000058,P00271142,1,33,2,B,3,0,5,,,8842
1000058,P00348242,1,33,2,B,3,0,8,,,7959
1000058,P00003942,1,33,2,B,3,0,5,14,,6987
1000058,P00282642,1,32,2,B,3,0,5,,,6855
1000058,P00288642,1,33,2,B,3,0,16,,,16579
1000058,P00151742,1,31,2,B,3,0,8,15,16,5851
1000058,P00244142,1,33,2,B,3,0,1,2,15,8147
1000058,P00050642,1,31,2,B,3,0,15,16,,12850
1000059,P00114742,0,52,1,B,4+,1,8,,,5899
1000059,P00113942,0,53,1,B,4+,1,8,,,3993
1000059,P00120942,0,52,1,B,4+,1,8,,,8084
1000059,P00083842,0,52,1,B,4+,1,5,14,,7159
1000059,P00148642,0,53,1,B,4+,1,6,10,13,12014
1000059,P00317842,0,53,1,B,4+,1,8,,,8007
1000059,P00030642,0,53,1,B,4+,1,8,,,6141
1000059,P00273642,0,54,1,B,4+,1,8,14,,9695
1000059,P00002542,0,52,1,B,4+,1,8,14,,5900
1000059,P00331642,0,52,1,B,4+,1,12,,,1384
1000059,P00331242,0,53,1,B,4+,1,12,17,,1432
1000059,P0096442,0,54,1,B,4+,1,4,5,12,2074
1000059,P00050242,0,54,1,B,4+,1,8,,,7864
1000059,P00131942,0,53,1,B,4+,1,7,,,8784
1000059,P00010742,0,52,1,B,4+,1,1,8,17,7988
1000060,P00150542,1,52,1,C,1,1,5,,,2048
1000060,P00132042,1,53,1,C,1,1,13,16,,742
1000061,P00334242,1,28,17,C,1,0,1,8,,15365
1000062,P00013742,0,44,3,A,1,0,5,,,5234
1000062,P00036842,0,41,3,A,1,0,1,14,16,11694
1000062,P00119342,0,38,3,A,1,0,10,13,,23792
1000062,P00182142,0,40,3,A,1,0,1,5,6,15654
1000062,P00188942,0,43,3,A,1,0,8,,,9844
1000062,P00203142,0,39,3,A,1,0,16,,,16698
1000062,P00320442,0,38,3,A,1,0,6,10,,15957
1000062,P00121642,0,44,3,A,1,0,5,14,,8599
1000062,P00289542,0,41,3,A,1,0,8,,,8138
1000062,P00329742,0,41,3,A,1,0,6,16,,12422
1000062,P00326642,0,38,3,A,1,0,8,,,7766
1000062,P00346142,0,41,3,A,1,0,1,15,,15208
1000062,P00336142,0,38,3,A,1,0,5,12,,5284
1000062,P00111442,0,37,3,A,1,0,8,,,7965
1000062,P00087242,0,42,3,A,1,0,14,,,11279
1000063,P00234742,1,19,4,C,2,0,8,,,5881
1000063,P00021742,1,21,4,C,2,0,5,,,8587
1000063,P00090842,1,23,4,C,2,0,11,15,,7552
1000063,P00214542,1,23,4,C,2,0,8,,,2226
1000064,P00110942,1,22,1,A,1,1,1,2,,19462
1000065,P00289942,1,39,12,C,2,1,3,4,5,13253
1000065,P00147942,1,43,12,C,2,1,1,16,,19420
1000065,P00216142,1,43,12,C,2,1,1,16,,19409
1000065,P00104842,1,42,12,C,2,1,8,,,9889
1000065,P00113142,1,37,12,C,2,1,1,5,12,15628
1000065,P00177942,1,40,12,C,2,1,5,8,,7053
1000066,P00265242,1,34,18,C,2,0,5,8,,8652
1000067,P00118142,0,53,5,C,4+,1,8,17,,8088
1000067,P00003642,0,54,5,C,4+,1,8,,,9878
1000067,P00178342,0,52,5,C,4+,1,8,,,7771
1000068,P00289742,1,20,4,A,0,0,8,,,9938
1000068,P00085042,1,21,4,A,0,0,5,6,,7036
1000068,P00248942,1,24,4,A,0,0,1,6,14,11429
1000069,P00184942,0,30,1,A,1,0,1,8,17,11715
1000069,P00041542,0,30,1,A,1,0,8,,,7973
1000070,P00249142,1,24,4,A,2,0,5,,,7076
1000070,P00284042,1,19,4,A,2,0,8,17,,2304
1000071,P00165442,1,30,14,A,0,1,1,15,16,11846
1000071,P00115942,1,29,14,A,0,1,8,17,,7908
1000071,P00278642,1,31,14,A,0,1,5,,,5223
1000071,P00021742,1,31,14,A,0,1,5,,,6996
1000072,P00156442,0,47,0,B,1,1,8,,,7968
1000072,P00318742,0,49,0,B,1,1,1,8,,15426
1000073,P00351142,1,23,4,A,4+,0,1,8,17,15900
1000073,P00074442,1,21,4,A,4+,0,1,16,,11822
1000073,P00047242,1,20,4,A,4+,0,1,5,,7802
1000073,P00199042,1,24,4,A,4+,0,1,5,,15624
1000073,P00192542,1,20,4,A,4+,0,1,2,9,15212
1000074,P00351142,1,43,14,A,2,1,1,8,17,15581
1000074,P00350042,1,41,14,A,2,1,6,8,,12409
1000075,P00248442,0,12,10,C,4+,0,3,4,,13337
1000075,P00172842,0,5,10,C,4+,0,3,4,,13667
1000075,P00198142,0,3,10,C,4+,0,2,4,9,12746
1000075,P00282142,0,9,10,C,4+,0,3,4,,5349
1000075,P00166942,0,10,10,C,4+,0,2,4,5,16187
1000075,P00187742,0,15,10,C,4+,0,2,4,,16320
1000075,P00003442,0,9,10,C,4+,0,4,5,8,2129
1000075,P00060242,0,4,10,C,4+,0,3,4,,11055
1000075,P00137642,0,3,10,C,4+,0,3,4,12,11000
1000075,P00106742,0,3,10,C,4+,0,3,5,,10578
1000076,P00126142,1,37,7,B,2,1,8,16,,7909
1000076,P00219842,1,40,7,B,2,1,5,,,7190
1000076,P00046142,1,43,7,B,2,1,1,16,,15393
1000076,P00338442,1,38,7,B,2,1,1,16,,11867
1000076,P00328142,1,37,7,B,2,1,8,16,,5973
1000077,P00255542,1,22,4,C,2,0,5,,,6909
1000077,P00250842,1,20,4,C,2,0,8,,,6144
1000077,P00260142,1,22,4,C,2,0,5,14,,5432
1000078,P0097142,0,48,1,C,0,1,12,,,1720
1000078,P00209842,0,48,1,C,0,1,5,8,,6852
1000078,P00212942,0,49,1,C,0,1,5,,,7061
1000078,P00283942,0,48,1,C,0,1,5,,,6868
1000078,P00303242,0,47,1,C,0,1,5,8,,8598
1000078,P00170442,0,47,1,C,0,1,5,,,3624
1000078,P00045842,0,49,1,C,0,1,5,14,,6986
1000078,P00040442,0,49,1,C,0,1,5,14,,6862
1000079,P00195842,0,49,0,A,1,0,3,4,8,7962
1000079,P00148642,0,49,0,A,1,0,6,10,13,15943
1000080,P00157542,1,55,1,C,3,1,8,14,,9788
1000080,P00293242,1,55,1,C,3,1,8,16,,9859
1000080,P00064042,1,55,1,C,3,1,3,4,12,8248
1000081,P00344242,0,27,0,A,1,1,8,10,,10058
1000082,P00015542,1,30,17,C,2,1,1,2,13,8162
1000082,P00001642,1,29,17,C,2,1,8,16,,8045
1000083,P00105142,0,30,2,C,1,0,1,2,15,15584
1000083,P00251242,0,28,2,C,1,0,5,11,,8775
1000083,P00183442,0,27,2,C,1,0,1,2,,7996
1000083,P00199442,0,27,2,C,1,0,5,9,,6889
1000083,P00054542,0,32,2,C,1,0,1,2,3,11730
1000084,P00034742,1,24,4,C,1,0,5,14,17,5315
1000084,P00042242,1,20,4,C,1,0,5,15,,3497
1000084,P00277442,1,22,4,C,1,0,1,6,15,11896
1000084,P00163142,1,20,4,C,1,0,6,8,,20595
1000085,P00027142,1,20,4,C,1,0,8,,,5986
1000086,P00145042,0,9,10,C,3,0,1,2,5,19283
1000086,P00053942,0,1,10,C,3,0,1,2,5,19442
1000087,P00173342,1,34,14,C,2,0,1,6,14,4121
1000087,P00233342,1,28,14,C,2,0,1,15,16,3847
1000087,P00036842,1,33,14,C,2,0,1,14,16,4528
1000088,P00010842,0,47,1,C,1,1,8,16,,10022
1000088,P00120242,0,47,1,C,1,1,8,,,7809
1000088,P00313342,0,48,1,C,1,1,5,,,7019
1000089,P00223942,0,55,9,C,1,1,5,8,,8804
1000089,P00362342,0,55,9,C,1,1,5,,,1747
